objectid,filename,title,format,source,clade,family,genus,description,specimen,collection,rights
mccann001,Afroedura_hawequensis_hfv_JBoone_5_IMG_2108.jpeg,Afroedura_hawequensis,image/jpeg,McCann et al,Gekkota,Gekkonidae,Afroedura,Hind foot ventral image ,live,Hoobyist Jon Boone private collection,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann002,Afroedura_loveridgei_hfv_AMNH_90649.tiff,Afroedura_loveridgei,image/jpeg,McCann et al,Gekkota,Gekkonidae,Afroedura,Hind foot ventral image ,preserved,AMNH_90649,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann003,Afroedura_loveridgei_hfv_JBoone_1_IMG_2047.jpeg,Afroedura_loveridgei,image/jpeg,McCann et al,Gekkota,Gekkonidae,Afroedura,Hind foot ventral image ,live,Hoobyist Jon Boone private collection,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann004,Afroedura_loveridgei_hfv_JBoone_4_IMG_2064.jpeg,Afroedura_loveridgei,image/jpeg,McCann et al,Gekkota,Gekkonidae,Afroedura,Hind foot ventral image ,live,Hoobyist Jon Boone private collection,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann005,Afroedura_loveridgei_hfv_JBoone_5_IMG_2068.jpeg,Afroedura_loveridgei,image/jpeg,McCann et al,Gekkota,Gekkonidae,Afroedura,Hind foot ventral image ,live,Hoobyist Jon Boone private collection,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann006,Ailuronyx_seychellensis_hfv_MCZ_R162913.tif,Ailuronyx_seychellensis,image/jpeg,McCann et al,Gekkota,Gekkonidae,Ailuronyx,Hind foot ventral image ,preserved,MCZ R162913,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann007,Amalosia_rhombifer_hfv_QMJ92092_Australia14-1_IMG_4269 copy.jpg,Amalosia_rhombifer,image/jpeg,McCann et al,Gekkota,Diplodactylidae,Amalosia,Hind foot ventral image ,preserved,QMJ92092,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann008,Aristelliger_cochranae_expectatus_51011_imgP5120596.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_50111,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann009,Aristelliger_cochranae_expectatus_hfv_AMNH_50113_imgP5120619.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_50113,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann010,Aristelliger_cochranae_expectatus_hfv_AMNH_50222_imgP5120615.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_50222,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann011,Aristelliger_cochranae_expectatus_hfv_AMNH_51004_imgP5120611.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_51004,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann012,Aristelliger_cochranae_expectatus_hfv_AMNH_51012_imgP5120599.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_51012,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann013,Aristelliger_cochranae_expectatus_hfv_AMNH_63016_imgP5120584.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_63016,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann014,Aristelliger_cochranae_expectatus_hfv_AMNH_63017_imgP5120623.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_63017,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann015,Aristelliger_cochranae_expectatus_hfv_AMNH_63018_imgP5120605.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_63018,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann016,Aristelliger_cochranae_expectatus_hfv_AMNH_63021_imgP5120588.tif,Aristelliger_cochranae_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,AMNH_63021,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann017,Aristelliger_expectatus_hfv_MCZ_R124609.tif,Aristelliger_expectatus,image/jpeg,McCann et al,Gekkota,Sphaerodactylidae,Aristelliger,Hind foot ventral image ,preserved,MCZ_R124609,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann018,Bavayia_sauvagii_hfv_MCZ_R19635.tif,Bavayia_sauvagii,image/jpeg,McCann et al,Gekkota,Diplodactylidae,Bavayia,Hind foot ventral image ,preserved,MCZ_R19635,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann019,Chondrodactylus_bibronii_hfv_AMNH_47866.tiff,Chondrodactylus_bibronii,image/jpeg,McCann et al,Gekkota,Gekkonidae,Chondrodactylus,Hind foot ventral image ,preserved,AMNH_47866,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"
mccann020,Cnemaspis_africana_CAS_168876_imgPB190089.jpg,Cnemaspis_africana,image/jpeg,McCann et al,Gekkota,Gekkonidae,Cnemaspis,Hind foot ventral image ,preserved,CAS_168876,"Informative use only. Digital reproduction is prohibited. For other uses beyond personal informational use, please contact Travis Hagey"